Generation,Best_Accuracy,Average_Accuracy,Best_n_estimators,Best_max_depth,Avg_n_estimators,Avg_max_depth,Error
0,0.9466056445461479,0.932509534706331,110,31,95.0,32.6,0.05339435545385207
1,0.9466056445461479,0.9175591151792524,125,31,115.7,31.6,0.05339435545385207
2,0.9466056445461479,0.920045766590389,110,46,118.2,31.4,0.05339435545385207
3,0.9466056445461479,0.9389473684210524,110,41,128.1,32.8,0.05339435545385207
4,0.9466056445461479,0.9037681159420288,110,36,111.6,28.6,0.05339435545385207
5,0.9466056445461479,0.9169031273836765,115,31,113.7,27.9,0.05339435545385207
6,0.9466056445461479,0.9176201372997711,110,31,119.5,27.3,0.05339435545385207
7,0.9466056445461479,0.915850495804729,125,31,121.9,25.9,0.05339435545385207
8,0.9466056445461479,0.9150877192982455,115,31,119.2,27.4,0.05339435545385207
9,0.9466056445461479,0.9030968726163233,125,31,120.4,26.4,0.05339435545385207
10,0.9466056445461479,0.9259801678108314,110,41,120.4,30.3,0.05339435545385207
11,0.9466056445461479,0.9097482837528603,125,31,113.0,26.6,0.05339435545385207
12,0.9466056445461479,0.914553775743707,110,31,115.3,26.8,0.05339435545385207
13,0.9466056445461479,0.9208390541571319,115,31,114.9,26.6,0.05339435545385207
14,0.9466056445461479,0.9149504195270786,110,31,120.1,25.0,0.05339435545385207
15,0.9466056445461479,0.9087109077040426,110,41,127.5,30.0,0.05339435545385207
16,0.9466056445461479,0.8883600305110602,110,46,115.9,27.9,0.05339435545385207
17,0.9466056445461479,0.9158657513348588,110,46,111.1,29.6,0.05339435545385207
18,0.9466056445461479,0.9028375286041189,125,31,114.5,27.2,0.05339435545385207
19,0.9466056445461479,0.9097177726926011,110,36,117.7,30.0,0.05339435545385207
20,0.9466056445461479,0.9181540808543096,110,41,114.0,29.2,0.05339435545385207
21,0.9466056445461479,0.8914263920671243,110,31,108.6,28.4,0.05339435545385207
22,0.9466056445461479,0.9203356216628528,110,46,121.5,30.2,0.05339435545385207
23,0.9466056445461479,0.9238749046529366,110,31,112.2,28.7,0.05339435545385207
24,0.9466056445461479,0.9180167810831424,110,46,120.0,31.2,0.05339435545385207
25,0.9466056445461479,0.942974828375286,110,31,123.0,35.8,0.05339435545385207
26,0.9466056445461479,0.922410373760488,110,41,113.9,31.2,0.05339435545385207
27,0.9466056445461479,0.9302059496567506,110,41,116.6,30.8,0.05339435545385207
28,0.9466056445461479,0.9189016018306636,125,31,112.5,27.9,0.05339435545385207
29,0.9466056445461479,0.9041495041952706,95,31,116.3,28.4,0.05339435545385207

POP_SIZE = 50
GENERATIONS = 30
MUTATION_RATE = 0.5
CROSSOVER_RATE = 0.5
TOURNAMENT_SIZES = 5